helpful,funny,Community_award,Recommend_flag,play_time,posted,Review_content,geme_nums,after_comment
780,442,45,1,1065," May 20, 2022","['Your team in every random competitive game:', '- You', '- Russian Guy', '- Another Russian Guy', '- A 6 year old kid who slept with your mother', '- Russian Guy who speaks English', '10/10']",117,35
905,64,18,1,2014.4," May 21, 2021","['Product received for free', 'Great game ruined by cheaters']",21,51
762,138,406,1,3107.9," October 24, 2020","['great game, lots of cheaters.']",111,26
610,146,33,1,7591.7," July 5, 2016",['CS !!'],154,15
12514,3562,45,1,2415.3," June 5, 2017","[""Press 'E' on any chicken and it follows you""]",43,115
638,537,89,1,68.6," August 17, 2020","['Product received for free', 'matchmaking 0/10', 'learning russian 10/10']",1,0
775,411,112,1,157.2," September 9, 2020",['IQ tests should be mandatory before being able to play matchmaking'],1,0
495,310,41,1,286.9, March 25,"[""After 19 years playing it, I didn't improve my skills in-game.However, I learned new language skills: now I can curse in Russian and Brazilian Portuguese.Also, my tolerance level to guttural screams and loud sounds was increased.Now I can bear the crying of my children for longer and I can make them feel better by singing sweet traditional songs from other cultures, such as Очи чёрные (Dark Eyes) or Garota de Ipanema (The Girl from Ipanema) In conclusion, Counter Strike transformed me into a better father and a better person, in addition to making me more patient, tolerant to hateful people and more trained in languages and cultures.Better than any psychiatric therapy. 10/10""]",19,11
1257,962,218,1,214.2," August 10, 2020","['>see a guy', '>shoot him', '>miss every shot', '>he turns around', '>kills me in one shot', '>exit cs:go', '10/10', '  Don Pablo', '0', '205 people found this review helpful', '1 person found this review funny 0', 'Recommended', '42.1 hrs on record', 'Posted: January 9, 2022', 'i like it so far']",4,0
495,909,22,1,2051.9," June 29, 2019",['Nice app for learning russian 10/10'],1,29
772,617,27,1,3591.7," March 15, 2014","['veri gud gaem plei evryday kill trrorists', 'pew pew brep brep']",1,69
384,160,21,1,451.2," July 12, 2022","[""After 8 years playing it, I didn't improve my skills in-game."", 'However, I learned new language skills: now I can curse in Russian and Brazilian Portuguese.', 'Also, my tolerance level to guttural screams and loud sounds was increased.', 'Better than any psychiatric therapy. 10/10', '  VACNET TESTER', '1 product in account', '9', '367 people found this review helpful', '128 people found this review funny 18', 'Recommended', '754.4 hrs on record', 'Posted: February 9', 'For the optimal experiences play in silver rank.', 'While playing you may encounter the following :', '- russian kids screaming into the mic', '- every racial slur in the book', '- cheaters', '- extreme toxicity', 'play at your own risk xd']",1,13
805,82,6,1,2225.1," March 8, 2020",['nice game but pls improve ur anti cheat'],157,0
876,340,33,1,17952.2," September 19, 2014",['Nice'],1,71
651,66,5,1,4739.7," February 21, 2019",['need to improve anti cheat'],1,0
615,397,37,1,171.8," October 13, 2021","[""I don't always reload, but when I do there's always an enemy in front of me.""]",98,34
537,248,32,1,578," July 12, 2021","['An amazing casino disguised as an FPS video game, unlike Counter-Strike.', '  B l u e b e r r y P o p t a r t', '1,847 products in account', '14', '174 people found this review helpful', '1 person found this review funny 4', 'Recommended', '3,500.2 hrs on record', 'Posted: November 24, 2018', 'Very nice game but there are to much cheaters and its almost impossible to improve ur trust factor.', '  ✪ Maffaypeek #ClashGG', '65 products in account', '15', '193 people found this review helpful', '81 people found this review funny 22', 'Recommended', '6,894.6 hrs on record', 'Posted: December 21, 2017', 'game ez with cheats men))))', '  ac blow cold one side only', '232 products in account', '21', '741 people found this review helpful', '419 people found this review funny 84', 'Recommended', '355.2 hrs on record', 'Posted: August 19, 2022', 'Things I gave to Counter-Strike:', '1. Money', '2. Time', '3. Love', 'Things Counter-Strike gave me:', '1. Arthritis', '2. Rage', '3. Hatred of Russians, Spanish and Russians', '4. Broken Keyboard (2)', '5. Broken Mouse (3)', '6. Immature 12 year olds insulting my mother', '7. 9/10 Ready', '8. Server Crashes', '9. ♥♥♥♥ Teammates', '10. Competitive Matches', '11. ""ez"" Spam', '12. Multilingual Cursing', '13. Lag', '14. Cheaters', '15. 64 Tick Servers', ""16. No skins = you're either a noob or a smurf or a cheater"", '17. Got A+ on my russian exam', '11 / 10 Would play again']",47,0
245,150,19,1,933.1, May 6,"[""After over 100 hours of playing csgo, I didn't improve my skills in-game."", 'However, I learned new language skills: now I can curse in Russian, Polish, German and Finnish.', 'Also, my tolerance level to guttural screams and loud sounds was increased.', 'Now I can bear the crying of my children for longer and I can make them feel better by singing sweet traditional songs from other cultures, such as К небесам и обратно (K nebesam i obratno) or Garota de Ipanema (The Girl from Ipanema)']",1,8
228,32,4,1,9492.3," June 10, 2019","['𝐊𝐢𝐥𝐥 𝐬𝐨𝐦𝐞𝐨𝐧𝐞 𝐖𝐢𝐭𝐡 𝐚 𝐀𝐖𝐏 - ""𝐘𝐨𝐮\'𝐫𝐞 𝐚 𝐍𝐨𝐨𝐛!- 𝐍𝐨𝐨𝐛 𝐖𝐞𝐚𝐩𝐨𝐧!""', ""𝐊𝐢𝐥𝐥 𝐬𝐨𝐦𝐞𝐨𝐧𝐞 𝐖𝐢𝐭𝐡 𝐚 𝐀𝐖𝐏 𝐭𝐡𝐫𝐨𝐮𝐠𝐡 𝐚 𝐃𝐨𝐨𝐫 𝐨𝐫 𝐖𝐚𝐥𝐥 - 𝐘𝐨𝐮'𝐫𝐞 𝐚 𝐇𝐚𝐜𝐤𝐞𝐫 !"", '𝐊𝐢𝐥𝐥 𝐬𝐨𝐦𝐞𝐨𝐧𝐞 𝐖𝐢𝐭𝐡 𝐚 𝐏𝟗𝟎 - ""𝐘𝐨𝐮\'𝐫𝐞 𝐚 𝐍𝐨𝐨𝐛! - 𝐍𝐨𝐨𝐛 𝐖𝐞𝐚𝐩𝐨𝐧!""', ""𝐊𝐢𝐥𝐥 𝐬𝐨𝐦𝐞𝐨𝐧𝐞 𝐖𝐢𝐭𝐡 𝐚 𝐏𝟗𝟎 𝐓𝐡𝐫𝐨𝐮𝐠𝐡 𝐚 𝐒𝐦𝐨𝐤𝐞 𝐨𝐫 𝐃𝐨𝐨𝐫 - 𝐘𝐨𝐮'𝐫𝐞 𝐚 𝐇𝐚𝐜𝐤𝐞𝐫!"", '𝐁𝐥𝐨𝐜𝐤𝐞𝐝 𝐛𝐲 𝐒𝐨𝐦𝐞𝐨𝐧𝐞 - 𝐃𝐢𝐞𝐬', '𝐀𝐜𝐜𝐢𝐝𝐞𝐧𝐭𝐚𝐥𝐥𝐲 𝐓𝐞𝐚𝐦𝐤𝐢𝐥𝐥 𝐬𝐨𝐦𝐞𝐨𝐧𝐞 -𝐆𝐞𝐭 𝐎𝐮𝐭 𝐭𝐡𝐞 𝐖𝐚𝐲 ,𝐃𝐚𝐦𝐧', '𝐈𝐧 𝐚 𝟏𝐯𝟓 𝐘𝐨𝐮 𝐖𝐢𝐧 - 𝐘𝐨𝐮 𝐀𝐫𝐞 𝐇𝐚𝐜𝐤𝐞𝐫', '𝐈𝐧 𝐚 𝟏𝐯𝟓 𝐘𝐨𝐮 𝐋𝐨𝐬𝐞 - 𝐘𝐨𝐮 𝐀𝐫𝐞 𝐍𝐨𝐨𝐛', '𝐘𝐨𝐮 𝐃𝐨𝐧𝐭 𝐔𝐬𝐞 𝐇𝐚𝐜𝐤 - 𝐘𝐞𝐥𝐥𝐨𝐰 𝐨𝐫 𝐑𝐞𝐝 𝐓𝐫𝐮𝐬𝐭 𝐅𝐚𝐜𝐭𝐨𝐫', '𝐒𝐨𝐦𝐞𝐨𝐧𝐞 𝐔𝐬𝐞 𝐒𝐩𝐢𝐧 𝐨𝐫 𝐇𝐚𝐜𝐤 - 𝐆𝐫𝐞𝐞𝐧 𝐓𝐫𝐮𝐬𝐭 𝐅𝐚𝐜𝐭𝐨𝐫 :𝐈', ""𝐃𝐞𝐜𝐢𝐝𝐞 𝐭𝐨 𝐒𝐚𝐯𝐞 - 𝐘𝐨𝐮'𝐫𝐞 𝐚 𝐂𝐨𝐰𝐚𝐫𝐝"", '𝐃𝐞𝐜𝐢𝐝𝐞 𝐧𝐨𝐭 𝐭𝐨 𝐒𝐚𝐯𝐞 - 𝐖𝐓𝐅 𝐀𝐫𝐞 𝐘𝐨𝐮 𝐃𝐨𝐢𝐧𝐠 𝐆𝐨 𝐒𝐚𝐯𝐞 𝐈𝐝𝐢𝐨𝐭', '𝐖𝐚𝐫𝐦 𝐔𝐩 - 𝐄𝐯𝐞𝐫𝐲𝐛𝐨𝐝𝐲 𝐭𝐫𝐢𝐞𝐬 𝐭𝐨 𝐬𝐩𝐚𝐰𝐧 𝐤𝐢𝐥𝐥', '𝐖𝐢𝐧 𝐚 𝐦𝐚𝐭𝐜𝐡 - 𝐀𝐥𝐥 𝐞𝐧𝐞𝐦𝐲 𝐓𝐞𝐚𝐦 𝐫𝐚𝐠𝐞𝐬', '𝐋𝐨𝐬𝐞 𝐚 𝐦𝐚𝐭𝐜𝐡 - 𝐘𝐨𝐮𝐫 𝐓𝐞𝐚𝐦 𝐫𝐚𝐠𝐞𝐬', '𝐆𝐞𝐭 𝐊𝐢𝐥𝐥𝐞𝐝 𝐛𝐲 𝐒𝐨𝐦𝐞𝐨𝐧𝐞 𝐰𝐢𝐭𝐡 𝐠𝐫𝐞𝐧𝐚𝐝𝐞 - 𝐇𝐀𝐇𝐀𝐇𝐀𝐇𝐀', '𝐊𝐢𝐥𝐥 𝐒𝐨𝐦𝐞𝐨𝐧𝐞 𝐰𝐢𝐭𝐡 𝐚 𝐠𝐫𝐞𝐧𝐚𝐝𝐞 - 𝐋𝐮𝐜𝐤𝐲', '𝐘𝐨𝐮𝐫 𝐭𝐞𝐚𝐦 𝐢𝐬 𝐋𝐨𝐨𝐬𝐢𝐧𝐠 𝐚𝐧𝐝 𝐲𝐨𝐮 𝐚𝐫𝐞 𝐢𝐧 𝐥𝐚𝐬𝐭 - 𝐒𝐨𝐦𝐞𝐨𝐧𝐞 𝐕𝐨𝐭𝐞 𝐊𝐢𝐜𝐤 𝐘𝐨𝐮', '𝐓𝐑 𝐈𝐧 𝐎𝐟𝐟𝐢𝐜𝐞 - 𝐄𝐯𝐞𝐫𝐲𝐛𝐨𝐝𝐲 𝐁𝐮𝐲𝐬 𝐍𝐞𝐠𝐞𝐯 𝐚𝐧𝐝 𝐒𝐦𝐨𝐤𝐞', '𝟏𝟎/𝟏𝟎', '𝐌𝐲 𝐅𝐚𝐯𝐨𝐫𝐢𝐭𝐞 𝐆𝐚𝐦𝐞, 𝐅𝐨𝐫𝐞𝐯𝐞𝐫']",1,56
530,468,56,1,13751.3," August 10, 2021","['it was okay for the first few 12 000 hours', '  Castle Lager', '2', '473 people found this review helpful', '102 people found this review funny 13', 'Recommended', '2,087.6 hrs on record', 'Posted: December 28, 2021', 'love + hate = csgo', '  [A]dmiral [V]ulva [G]angrene', '58 products in account', '22', '487 people found this review helpful', '30 people found this review funny 12', 'Recommended', '210.2 hrs on record', 'Posted: April 2, 2021', 'i would love this game if VAC system improves']",1,0
740,54,31,1,1713.7," May 2, 2020","['Product received for free', 'No wonder CS is 20+ years old. This game is so addictive. I was never really into gaming but this game changed my opinion. This is one of the most accurate FPS games ever made with 128 tick servers. This game requires passion, dedication, hardwork, skill & a lot of practice because every pixel counts when you trigger you gun. Rumours say CS:GO is going to shift on Source 2 Engine within 2 weeks, really excited for it.', 'When you will play on low tier like Silver & Gold Nova you may lose many games because of your teammates. They may do basic mistakes like Run & Gun, Team Flash etc. But never rage on them. Always remember we used to do the same basic mistakes when we were beginners. I know this game involves lot of emotion but keep your calm & make sure to teach the beginners. Our community is already toxic, lets not make it more.', 'You win or you learn, you never lose.', 'Edit: Source 2 is still not out. You can play on 128 tick rate servers on third party clients like FaceIt, ESEA, 5E Play etc.']",1,51
354,105,6,1,12542.9," September 28, 2014","['!!!!', '  1 TAP', '92 products in account', '35', '864 people found this review helpful', '275 people found this review funny 42', 'Recommended', '36.7 hrs on record', 'Posted: March 15, 2021', 'The game where happiness dies. 🙂']",1,56
208,25,44,0,2981.7," January 16, 2018",['Too many hackers and toxic plebs.'],1213,15
904,76,257,1,1188.7, May 20,['First shot head shot and im dead!!!'],1,0
525,247,10,1,2103.1," November 23, 2017","['You sweat, you rage, you quit but you always come back to it.', '  AshurA #RETIRED', '32 products in account', '17', '516 people found this review helpful', '162 people found this review funny 60', 'Recommended', '621.9 hrs on record', 'Posted: July 20, 2020', '10/10 gameplay, 0/10 matchmaking']",10,0
198,1,0,1,2674.2," November 5, 2019","['A very good FPS. One of the pioneers of FPS in fact.', ""Can't go wrong with CS:GO."", ""C'mon give it a shot, you know you want to."", '  ashley ♡', '27 products in account', '0', '1,065 people found this review helpful', '815 people found this review funny 12', 'Recommended', '25,089.0 hrs on record', 'Posted: February 22, 2017', 'IQ tests should be mandatory before being able to play matchmaking']",321,51
780,660,92,1,7.8," February 4, 2021","[""If i had a dollar for each time someone screamed at me in another language, i'd still have no money because i spent it on skins.""]",1,0
597,391,44,1,6.3, March 28,['Not toxic at all! Definitely Recommend!'],126,0
147,56,0,1,2964," March 22, 2021","['𝘎𝘳𝘦𝘢𝘵 𝘨𝘢𝘮𝘦, 𝘳𝘶𝘪𝘯𝘦𝘥 𝘣𝘺 𝘤𝘩𝘦𝘢𝘵𝘦𝘳𝘴.']",1,0
1584,187,159,1,320.1, June 11,['My friend who I play CS:GO with said if I post a review on Cs and it gets 100 likes and 20 Awards that he will buy me a case of beer and some vodka So im just gonna leave this here.'],10,0
290,125,18,1,12, June 18,"['This community is so nice i got a lot of tips on how to uninstall the game and kill myself', 'Gabe Newell where my beta key?']",1,5
1068,1023,195,1,655," September 4, 2020","['How to play CSGO:', 'Step 1: Download it for free.', 'Step 2: Get lvl 2.', 'Step 3: Queue up for Competitive.', 'Step 4: Get destroyed by 5 cheaters.', 'Step 5: Exit.', 'Step 6: Buy it.', 'Step 7: Open it again.', 'Step 8: Queue up for Competitive again.', 'Step 9: Team up with 4 russians and get destroyed by enemy team.', 'Step 10: Quit.', 'Step 11: Download/Buy cheats.', 'Step 12: Get banned.', 'Step 13: Get a virus.', 'Step 14: Cry.']",64,34
577,328,32,1,46," July 6, 2022","['- Wake up', ""- Copy someone else's review"", '- Shower', '- CSGO', '- Miss sniper shot', '- Loose competitive game', '- Look at skins', ""- Cry because can't afford skins"", '- Post copied review', '- Go sleep', '- Wake up with more likes than original review', '- Repeat', '  Fatal BO', '1 product in account', '0', '383 people found this review helpful', '212 people found this review funny 34', 'Recommended', '1,585.9 hrs on record', 'Posted: August 31, 2022', 'After 100 hours I knew the basics of the game and the guns available', 'After 200 hours I threw away the knowledge of all guns and sprayed the P90', ""After 300 hours I clicked on people's heads with an SG"", 'After 400 hours I was bad and abandoned ranked', 'After 500 hours I played wingman on Lake', 'After 600 hours I partook in an additional mild quantity of the winged male upon the realm by the Lake', 'After 700 hours I was silver 1 in wingman', 'After 800 hours I started playing on 130 ping to contain my sheer ability and flawless aim to give the rest of the community a chance', 'After 900 hours I have become a master of the arts in using a nova on 130 ping and the world trembles as I kill countless awptists with a swift burst of hot metal straight to the temple', ""Maybe once I hit 1000 hours I'll finally get out of silver"", ""Now I got out of silver and I'm running straight back, hopefully I'll get back there by 1500""]",71,28
919,453,3,1,542.7," August 17, 2018",['Very nice game with a cancer community'],1,0
738,546,4,1,1841.3," May 26, 2018","[""Like an abusive relationship, Hate it while you're in it, but miss it when you're gone!""]",66,43
284,15,5,0,3216.4," November 27, 2016","['ORIGINAL REVIEW Posted: Nov 27, 2016:', 'Extremely fun and addictive game! That IS if you practice and learn the way the game is supposed to be played.', 'Actually requires a lot of patience, aim control, learning of map locations, etc.', ""Edit Dec 7, 2018: Stupid crazy full with hackers, now that it's F2P i feel like it's gonna get taken over by even more hackers... RIP 2012 CSGO."", 'EDIT 2021/09/03: Some of you are morons here... Clearly a huge ""fan"" base of CSGO. I\'ve gathered around 9,000+ hours in total (in my other account as well) No. I wasn\'t a ""Noob"" or had no skill. I was GE for a very long time.', ""This review is from 2018. After all the new updates came into place. I LOVED the game, It was my addiction. After those updates, everything went down hill. MORE toxicity, MORE blatant hackers, and I for one wasn't a big fan of the newest updates. So I decided to leave, updated this review with my most recent experience."", ""Reviews are meant to talk about your experience, Not to kiss ass and make things look good when they aren't."", '  \U000e0073\u2067\u2067 PANIC', '53', '932 people found this review helpful', '113 people found this review funny 28', 'Recommended', '3,108.5 hrs on record', 'Posted: December 9, 2019', 'I started playing this game when I started to get depressed IRL.', 'I made a lot of friends and got to know that I was actually a likeable human being.', 'People seemed to be happy and excited to play with me.', 'I called them friends and they helped me simply by existing and being happy with me.', 'I grew confident, learnt I was actually a bit fun to talk with.', 'This game made me discover myself and I forever will be thankful for that.', ""The thing that makes this game what it is are the people, you'll meet a LOT of them it's upto you to choose who to keep playing with and who to forget and forgive."", 'The people i met through this game are some of my lifelong friends and I am lucky to have those friends.', 'I may not play this game everyday now but this game holds a dear and special place in my heart.']",232,53
387,45,38,1,3151.4," June 10, 2021","[""so after near 2k time play, I'm gonna say some words"", ""First: don't get disappointed so easily u will get better"", ""Second: don't get mad against your friends your friends are always better against you just because ..."", ""Third: don't get mad at all u will lose your focus afterward game"", ""Fourth: u are good at your rank don't let anyone ruin your fun just try to get better"", 'Fifth: u will face some unhealthy players that make your blood boil', ""Sixth: don't buy cheats just don't"", 'seventh: u will meet player on the high rank that use cheat and pay for cheat monthly higher than ur salary', ""after all, I don't know just be wise""]",1493,18
318,171,12,1,411.8," April 30, 2022","['Free Russian lessons', '10/10']",236,0
420,37,4,1,317," March 11, 2020",['Great game bro love it. But need to work on scammers and cheaters'],2,0
659,572,2,1,1076.1," August 31, 2018",['voice_enable 0'],1,13
486,31,18,1,1742.4," June 28, 2021","[""Please fix the anticheat I'm tired of cheaters in all games."", 'Faceit can do it, Valorant can do it, ( Well make it alot harder )']",41,0
452,153,1,1,4085.4," August 9, 2014",['Best game ever since cs 1.6.'],203,73
397,283,4,1,6047.3," September 29, 2019","['This is the gaming equivalent of a toxic relationship that you can never get away from.', '  Timmy - new CS player :D', '17', '388 people found this review helpful', '185 people found this review funny 33', 'Recommended', '5,489.9 hrs on record', 'Posted: April 17', 'I use the community servers as a dating website, I have 5000 hours on this game and still a virgin.', 'Surf is pretty fun though. Check out this game!', '  Driving with Randy Podcast', '7 products in account', '21', '102 people found this review helpful', '102 people found this review funny 15', 'Recommended', '2,198.2 hrs on record', 'Posted: December 23, 2021', '𝙂𝙧𝙚𝙖𝙩 𝙜𝙖𝙢𝙚 𝙧𝙪𝙞𝙣𝙚𝙙 𝙗𝙮 𝙘𝙝𝙚𝙖𝙩𝙚𝙧𝙨.']",1,0
438,27,68,1,9278.7," September 23, 2020","[""To be honest, even if you encounter some cheater in this game, we are always come back and play it. It's one one the best FPS games even it's years old.."", 'Valve', 'Please try to improve the anti cheat. We get some cheaters even on high trust factor (and GE elo).', ""Please give us a new operation to play with. We waited so long for the last one, don't let us wait years again!""]",773,20
300,22,30,1,4083," June 6, 2022","['Fun game overall, though it may at times consume too much of your day time.', 'You will come across many toxic-salty people, just ignore-report-mute them.', 'You will have days that you may play like a pro and feel good and your dopamine will skyrocket, but you will be accused of cheating by your ""victims"".', ""you will have days that you can't even get a shot and you will be told to possibly cease to exist and delete this game possibly something about your close relatives but as I said in my second point, ignore-mute-report whatever you dont like."", ""Enjoy this game, be less toxic, obviously don't cheat what would be the point."", 'GLHF.', '  BOT Swan', '17', '685 people found this review helpful', '88 people found this review funny 0', 'Recommended', '208.6 hrs on record', 'Posted: February 17, 2018', 'So what do we need to do to get good in this game?', 'Step 1:', ""Accept you aren't the best and make mistakes like everyone else"", 'Step 2:', 'Setup your Gear. Have a good Microphon and use it.', ""Warmup before Competitive Games. Doesn't matter if you kill 1000 Bots on an Aim-Map or play Deathmatch for about 20 Minutes."", 'Practice all necessary skills for the Game', '- AIM -> Deathmatch; Aim-Maps; Practice-Maps (Recoilmaster etc.)', '- Movement -> Climb-servers; Surfing, Prefire-Maps (Shortcuts from Yesber too)', '- Gamesense -> Matchmaking; Retake-Servers', '- Mapknowledge -> Callouts; Demos from your favourite Pro-Player,', '- Nades -> pls learn them', '- Roles -> Entry; Support; Lurk; AWPer', '- Train your Habit (first callout then flame)', '- play daily to to improve your aim', '- make pauses every 2-3 games to reset (go outside from the room with your Pc)', '- stop at the point you get mad (after a loss may)', 'If you follow all these Steps you will be able to climb the ladder and improve fast.', 'Have a nice day and start fraggin!', 'P.S.: Last Step: Get friends to play with and play for the win not for stats!!!']",2,49
350,25,2,1,1642.6," October 30, 2018","['I was very young when I first got to know Counter-Strike back in the early days of Counter-Strike 1.5.', 'It was in an Internet-Café during Holidays where I even got to play the game for the first time.', 'Some years later some friends from the area were playing CS 1.6 and thats where I joined the Steam and Counterstrike-Community on January 8th, 2006.', 'We formed a team, trained about two years and climbed up the ladder of our local CS-League here in Switzerland.', 'However, due to insufficient capacity (private life) of some members and a lack of Morale we split up.', 'I\'ve seen Counter-Strike in all of its states from 1.5 on, 1.6, Condition Zero, Source, I even had my hands on the old mod called ""CS Promod"" where people tried to get the gameplay from 1.6 with the graphics of Source. Which was something I really liked.', ""After a long break I decided to reroll in CS:GO and check out how the game had evolved. It took a while but the more I played and did matchmakings (good mm's ^^) the more I wanted to set foot in E-Sports again."", ""CS:GO is the perfect balance between the gameplay of 1.6 and the graphics of source (while its not source, definitely and luckily not.), to most efficient CS players ive talked to graphics dont matter and it explains why many Pro's do play with low resolutions and stuff like that because it reminds them of the good ol' days (from what i've read)."", 'Though it still has its harsh and sometimes frustrating learning-curve, it is worth the effort because if you truly stick to it and learn about it each time you play and try to learn from your mistakes the better you get.', ""Since all those years i've tried out almost all other game titles in the FPS genre, nothing could ever stand up against the simplicity and competitiveness of Counter-Strike for me."", ""If you're looking for a great team-experience (which you first need to create or join) in where every man counts, every round counts and has a big community involved with tournaments and stuff, this game is for you."", ""However if you're looking for a realistic shooter that compares guns 1:1 like in real life, with bulletdrop and things like that, this game is definitely not for you."", 'I hope my shared thoughts on the game where helpful and gave you a bit of insight whether you want to join our community.', 'Best Regards', 'Knight']",1,34
